,Time,Topics,pos/neu/neg
0,2021-12-01 16:52:05+00:00,health facility/control measures,negative
1,2021-12-01 16:52:04+00:00,health facility/control measures,negative
17,2021-12-01 16:49:04+00:00,health facility/control measures,negative
37,2021-12-01 16:45:05+00:00,health facility/control measures,negative
38,2021-12-01 16:44:47+00:00,health facility/control measures,negative
40,2021-12-01 16:44:06+00:00,health facility/control measures,negative
53,2021-12-01 16:42:03+00:00,health facility/control measures,negative
59,2021-12-01 16:40:02+00:00,health facility/control measures,negative
93,2021-12-01 16:30:04+00:00,health facility/control measures,negative
108,2021-12-01 16:26:03+00:00,health facility/control measures,negative
124,2021-12-01 16:21:07+00:00,health facility/control measures,negative
125,2021-12-01 16:21:00+00:00,health facility/control measures,negative
163,2021-12-01 16:13:35+00:00,health facility/control measures,negative
171,2021-12-01 16:10:01+00:00,health facility/control measures,negative
207,2021-12-01 16:01:50+00:00,health facility/control measures,negative
210,2021-12-01 16:01:41+00:00,health facility/control measures,negative
222,2021-12-01 16:00:04+00:00,health facility/control measures,negative
223,2021-12-01 16:00:01+00:00,health facility/control measures,negative
233,2021-12-01 15:55:43+00:00,health facility/control measures,negative
245,2021-12-01 15:52:16+00:00,health facility/control measures,negative
246,2021-12-01 15:52:07+00:00,health facility/control measures,negative
257,2021-12-01 15:48:39+00:00,health facility/control measures,negative
264,2021-12-01 15:46:58+00:00,health facility/control measures,negative
267,2021-12-01 15:45:36+00:00,health facility/control measures,negative
268,2021-12-01 15:45:33+00:00,health facility/control measures,negative
272,2021-12-01 15:44:51+00:00,health facility/control measures,negative
311,2021-12-01 15:35:00+00:00,health facility/control measures,negative
315,2021-12-01 15:34:14+00:00,health facility/control measures,negative
321,2021-12-01 15:32:12+00:00,health facility/control measures,negative
348,2021-12-01 15:23:28+00:00,health facility/control measures,negative
542,2021-12-01 14:39:35+00:00,health facility/control measures,negative
546,2021-12-01 14:38:51+00:00,health facility/control measures,negative
549,2021-12-01 14:38:10+00:00,health facility/control measures,negative
550,2021-12-01 14:38:07+00:00,health facility/control measures,negative
552,2021-12-01 14:37:58+00:00,health facility/control measures,negative
564,2021-12-01 14:32:48+00:00,health facility/control measures,negative
565,2021-12-01 14:32:46+00:00,health facility/control measures,negative
568,2021-12-01 14:32:16+00:00,health facility/control measures,negative
569,2021-12-01 14:32:15+00:00,health facility/control measures,negative
573,2021-12-01 14:32:02+00:00,health facility/control measures,negative
575,2021-12-01 14:31:54+00:00,health facility/control measures,negative
577,2021-12-01 14:31:44+00:00,health facility/control measures,negative
579,2021-12-01 14:31:14+00:00,health facility/control measures,negative
580,2021-12-01 14:31:12+00:00,health facility/control measures,negative
584,2021-12-01 14:30:04+00:00,health facility/control measures,negative
619,2021-12-01 14:24:04+00:00,health facility/control measures,negative
623,2021-12-01 14:23:52+00:00,health facility/control measures,negative
627,2021-12-01 14:23:02+00:00,health facility/control measures,negative
659,2021-12-01 14:15:39+00:00,health facility/control measures,negative
665,2021-12-01 14:15:05+00:00,health facility/control measures,negative
671,2021-12-01 14:13:51+00:00,health facility/control measures,negative
679,2021-12-01 14:12:34+00:00,health facility/control measures,negative
690,2021-12-01 14:11:00+00:00,health facility/control measures,negative
691,2021-12-01 14:10:58+00:00,health facility/control measures,negative
709,2021-12-01 14:08:48+00:00,health facility/control measures,negative
719,2021-12-01 14:05:47+00:00,health facility/control measures,negative
739,2021-12-01 14:02:31+00:00,health facility/control measures,negative
740,2021-12-01 14:02:30+00:00,health facility/control measures,negative
746,2021-12-01 14:01:24+00:00,health facility/control measures,negative
825,2021-12-01 13:46:01+00:00,health facility/control measures,negative
829,2021-12-01 13:45:07+00:00,health facility/control measures,negative
832,2021-12-01 13:45:00+00:00,health facility/control measures,negative
910,2021-12-01 13:26:01+00:00,health facility/control measures,negative
924,2021-12-01 13:22:10+00:00,health facility/control measures,negative
925,2021-12-01 13:22:03+00:00,health facility/control measures,negative
977,2021-12-01 13:11:35+00:00,health facility/control measures,negative
36,2021-12-01 16:45:25+00:00,health facility/control measures,neutral
60,2021-12-01 16:39:51+00:00,health facility/control measures,neutral
194,2021-12-01 16:05:07+00:00,health facility/control measures,neutral
208,2021-12-01 16:01:49+00:00,health facility/control measures,neutral
209,2021-12-01 16:01:45+00:00,health facility/control measures,neutral
219,2021-12-01 16:00:13+00:00,health facility/control measures,neutral
285,2021-12-01 15:41:29+00:00,health facility/control measures,neutral
370,2021-12-01 15:16:48+00:00,health facility/control measures,neutral
423,2021-12-01 15:04:10+00:00,health facility/control measures,neutral
436,2021-12-01 15:01:17+00:00,health facility/control measures,neutral
444,2021-12-01 15:00:03+00:00,health facility/control measures,neutral
464,2021-12-01 14:54:46+00:00,health facility/control measures,neutral
465,2021-12-01 14:54:34+00:00,health facility/control measures,neutral
466,2021-12-01 14:54:24+00:00,health facility/control measures,neutral
515,2021-12-01 14:45:00+00:00,health facility/control measures,neutral
524,2021-12-01 14:42:30+00:00,health facility/control measures,neutral
527,2021-12-01 14:41:52+00:00,health facility/control measures,neutral
536,2021-12-01 14:40:00+00:00,health facility/control measures,neutral
537,2021-12-01 14:39:50+00:00,health facility/control measures,neutral
539,2021-12-01 14:39:41+00:00,health facility/control measures,neutral
541,2021-12-01 14:39:40+00:00,health facility/control measures,neutral
545,2021-12-01 14:39:05+00:00,health facility/control measures,neutral
562,2021-12-01 14:33:50+00:00,health facility/control measures,neutral
576,2021-12-01 14:31:49+00:00,health facility/control measures,neutral
698,2021-12-01 14:10:09+00:00,health facility/control measures,neutral
707,2021-12-01 14:09:17+00:00,health facility/control measures,neutral
728,2021-12-01 14:04:14+00:00,health facility/control measures,neutral
738,2021-12-01 14:02:46+00:00,health facility/control measures,neutral
755,2021-12-01 14:00:03+00:00,health facility/control measures,neutral
758,2021-12-01 14:00:01+00:00,health facility/control measures,neutral
759,2021-12-01 14:00:01+00:00,health facility/control measures,neutral
760,2021-12-01 14:00:01+00:00,health facility/control measures,neutral
761,2021-12-01 14:00:01+00:00,health facility/control measures,neutral
789,2021-12-01 13:53:14+00:00,health facility/control measures,neutral
814,2021-12-01 13:49:36+00:00,health facility/control measures,neutral
817,2021-12-01 13:47:17+00:00,health facility/control measures,neutral
827,2021-12-01 13:45:28+00:00,health facility/control measures,neutral
836,2021-12-01 13:42:35+00:00,health facility/control measures,neutral
837,2021-12-01 13:42:34+00:00,health facility/control measures,neutral
849,2021-12-01 13:38:21+00:00,health facility/control measures,neutral
850,2021-12-01 13:38:12+00:00,health facility/control measures,neutral
856,2021-12-01 13:36:20+00:00,health facility/control measures,neutral
860,2021-12-01 13:34:57+00:00,health facility/control measures,neutral
872,2021-12-01 13:34:03+00:00,health facility/control measures,neutral
890,2021-12-01 13:31:07+00:00,health facility/control measures,neutral
949,2021-12-01 13:17:31+00:00,health facility/control measures,neutral
433,2021-12-01 15:02:00+00:00,health facility/control measures,positive
488,2021-12-01 14:50:36+00:00,health facility/control measures,positive
558,2021-12-01 14:35:19+00:00,health facility/control measures,positive
700,2021-12-01 14:10:00+00:00,health facility/control measures,positive
824,2021-12-01 13:46:08+00:00,health facility/control measures,positive
2,2021-12-01 16:51:49+00:00,news,neutral
3,2021-12-01 16:51:31+00:00,news,negative
4,2021-12-01 16:51:30+00:00,anti vaccine,negative
5,2021-12-01 16:51:29+00:00,news,neutral
6,2021-12-01 16:51:20+00:00,news,positive
7,2021-12-01 16:51:04+00:00,vaccine effects,negative
8,2021-12-01 16:50:57+00:00,vaccine effects,negative
9,2021-12-01 16:50:47+00:00,pandemic effects,negative
10,2021-12-01 16:50:24+00:00,vaccine effects,negative
11,2021-12-01 16:50:03+00:00,pandemic effects,negative
12,2021-12-01 16:49:46+00:00,news,neutral
13,2021-12-01 16:49:45+00:00,news,neutral
14,2021-12-01 16:49:45+00:00,news,neutral
15,2021-12-01 16:49:37+00:00,pandemic effects,negative
16,2021-12-01 16:49:23+00:00,pro vax,positive
18,2021-12-01 16:48:57+00:00,news,positive
19,2021-12-01 16:48:32+00:00,news,neutral
20,2021-12-01 16:47:53+00:00,pandemic effects,neutral
21,2021-12-01 16:47:47+00:00,news,neutral
22,2021-12-01 16:47:44+00:00,news,neutral
23,2021-12-01 16:47:29+00:00,news,neutral
24,2021-12-01 16:47:26+00:00,pro vax,positive
25,2021-12-01 16:46:58+00:00,news,neutral
26,2021-12-01 16:46:57+00:00,news,neutral
27,2021-12-01 16:46:46+00:00,news,neutral
28,2021-12-01 16:46:11+00:00,news,neutral
29,2021-12-01 16:46:04+00:00,pro vax,positive
30,2021-12-01 16:45:56+00:00,anti vaccine,neutral
31,2021-12-01 16:45:55+00:00,news,neutral
32,2021-12-01 16:45:47+00:00,news,positive
33,2021-12-01 16:45:45+00:00,news,neutral
34,2021-12-01 16:45:44+00:00,news,positive
35,2021-12-01 16:45:36+00:00,news,neutral
39,2021-12-01 16:44:13+00:00,news,neutral
41,2021-12-01 16:44:03+00:00,news,neutral
42,2021-12-01 16:43:35+00:00,vaccine effects,negative
43,2021-12-01 16:43:26+00:00,news,neutral
44,2021-12-01 16:43:05+00:00,vaccine effects,neutral
45,2021-12-01 16:42:57+00:00,vaccine effects,negative
46,2021-12-01 16:42:48+00:00,anti vaccine,negative
